model,tn,fp,fn,tp,precision,recall,f1,roc_auc,pr_auc
one_class_svm,37,15,3,1,0.0625,0.25,0.1,0.48557692307692313,0.09232852720755946
isolation_forest,49,3,4,0,0.0,0.0,0.0,0.5817307692307692,0.09780303030303031
local_outlier_factor,51,1,4,0,0.0,0.0,0.0,0.45673076923076916,0.08197069132672086
elliptic_envelope,52,0,4,0,0.0,0.0,0.0,0.5144230769230769,0.1044011544011544
