model,tn,fp,fn,tp,precision,recall,f1,roc_auc,pr_auc
one_class_svm,37,45,15,14,0.23728813559322035,0.4827586206896552,0.3181818181818182,0.45374264087468463,0.23033097315586726
isolation_forest,77,5,29,0,0.0,0.0,0.0,0.4844407064760302,0.24499875171420032
local_outlier_factor,80,2,29,0,0.0,0.0,0.0,0.4343986543313708,0.2262949756105299
elliptic_envelope,81,1,29,0,0.0,0.0,0.0,0.4419680403700589,0.22791383012380634
